8=FIX4.4; 35=A; 34=1; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:44; 108=30; 10=0015;
8=FIX4.4; 35=A; 34=1; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:44; 108=30; 10=0016;
8=FIX4.4; 35=0; 34=2; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:44; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=2; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:44; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:46; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:46; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:48; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:48; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:50; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:50; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:52; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:52; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:54; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:54; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=8; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:56; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=8; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:56; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=9; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:58; 108=30; 10=0015;
